id	type	form	source	directive	target	status	sentence
fn007s10w2	nemEü	intézkedjen	1speaker	2saját hangú	1listener	auto	Feltétlenül intézkedjen , ha Ön is szerepel a listán !
fn007s20w7	nemEü	legyen	_	1nodirectiva	_	auto	Magyarország ezért mindent megtesz , hogy legyen elég vakcina a tömeges oltás megkezdéséhez .
fn008s3w8	nemEü	zárjuk	_	_	_	error	A miniszter elmondta , ha most nem zárjuk be rövid időre az országot , félő , hogy az emberek elfelejtik hogyan kell mocskolódni a hozzászólásokban .
fn008s11w13	nemEü	terjedjen	_	1nodirectiva	_	auto	Szintén lázárják az utcák páratlan oldali járdáit is , hogy ott ne terjedjen a vírus .
fn008s14w13	nemEü	haladjunk	2speaker+	3közvetített	3inclusive	auto	Ehelyett azt kérik , minél szűkebb , keskenyebb utcákon , akár sikárotokon haladjunk , egyszerre minél többen , hogy a vírusnak ne maradjon hely .
fn008s14w23	nemEü	maradjon	_	1nodirectiva	_	auto	Ehelyett azt kérik , minél szűkebb , keskenyebb utcákon , akár sikárotokon haladjunk , egyszerre minél többen , hogy a vírusnak ne maradjon hely .
fn009s4w1	nemEü	OSSZÁTOK	1speaker	2saját hangú	2listener+	auto	OSSZÁTOK MEG > > Nincs pénz rá a vírus miatt !
fn009s6w13	nemEü	vegyenek	_	1nodirectiva	_	auto	A kormány negyvenmilliárd forintos programot indítannak érdekében , hogy minél több közfoglalkoztatottat vegyenek át a piaci munkaadók .
fn009s7w22	nemEü	csökkenjen	_	1nodirectiva	_	auto	Lázár János elmondta : jelenleg 216 ezer közfoglalkoztatott van , a cél , hogy számuk a következő öt évben 100 ezerre csökkenjen .
fn009s10w21	nemEü	vegyenek	_	1nodirectiva	_	auto	Most a kor mány elkezdett egy olyan rendszer működtetésén gondolkodni , ami ösztönöznék a cégvezetőket , munkaadókat , hogy közmunkást vegyenek fel álláshelvikre .
fn009s11w13	nemEü	válasszanak	_	1nodirectiva	_	auto	Ha ők is kapnak egyfajta ösztönzést arra , hogy a közmunka programból válasszanak maguknak munkaerőt , akkor sikeres lehet a pr ogram .
fn010s1w19	fn	készüljön	_	4meta	_	auto	"Orbán Viktor SOKKOLÓ bejelentése : "" Ha valaki nem fogadja el az oltóponton felkínált vakcinát , akkor az készüljön fel arra , hogy .. """
fn010s17w8	fn	figyeljenek	2speaker+	3közvetített	2listener+	auto	Az időseket is kérjük , hogy fokozottan figyeljenek magukra és az általános óvintézkedések betartására .
fn010s36w8	fn	kerüljük	2speaker+	3közvetített	3inclusive	auto	A közösségi terjedés megfékezése érdekében továbbra is kerüljük azokat a helyeket , ahol zárt térben sokan vannak , lehetőleg tartsuk a szociális távolságot , gyakran és alaposan mossunk kezet .
fn010s36w20	fn	tartsuk	2speaker+	3közvetített	3inclusive	auto	A közösségi terjedés megfékezése érdekében továbbra is kerüljük azokat a helyeket , ahol zárt térben sokan vannak , lehetőleg tartsuk a szociális távolságot , gyakran és alaposan mossunk kezet .
fn010s36w28	fn	mossunk	2speaker+	3közvetített	3inclusive	auto	A közösségi terjedés megfékezése érdekében továbbra is kerüljük azokat a helyeket , ahol zárt térben sokan vannak , lehetőleg tartsuk a szociális távolságot , gyakran és alaposan mossunk kezet .
fn010s37w16	fn	tartsa	2speaker+	3közvetített	1listener	auto	Akinél külföldi tartózkodás vagy egyéb ok miatt hatósági házi karantént rendeltek el , az szigorúan tartsa be .
fn010s38w9	fn	menjen	2speaker+	3közvetített	1listener	auto	Bárki , akinek tünetei vannak , az ne menjen közösségbe , hanem maradjon otthon és telefonon értesítse háziorvosát .
fn010s38w13	fn	maradjon	2speaker+	3közvetített	1listener	auto	Bárki , akinek tünetei vannak , az ne menjen közösségbe , hanem maradjon otthon és telefonon értesítse háziorvosát .
fn010s38w17	fn	értesítse	2speaker+	3közvetített	1listener	auto	Bárki , akinek tünetei vannak , az ne menjen közösségbe , hanem maradjon otthon és telefonon értesítse háziorvosát .
fn011s2w2	nemEü	segíts	1speaker	2saját hangú	1listener	auto	Kérlek segíts egy megosztással a cenzúra ellen !
fn011s7w3	nemEü	vegyük	_	6szövegszervező	_	auto	"Azt is vegyük itt még tekintetbe , hogy annak ellenére , hogy a források nem tudnak arról , hogy Atillának köze lett volna bátyjának , Budának a halálához , a történelemtudomány „ megajándékozta "" Atillát a testvérgyilkos szereppel is ."
fn011s56w21	nemEü	megjelenhessen	_	1nodirectiva	_	auto	Talán az egyik legnehezebben megválaszolható kérdés az , hogy a Mindenható Isten miért nem teszi lehetetlenné , hogy a Rossz megjelenhessen .
fn012s3w7	fn	Adjátok	2speaker+	2saját hangú	2listener+	auto	Mutatjuk mi mindenre jó : - Adjátok tovább áldásos hatásait !
fn012s6w17	fn	tegyük	_	1nodirectiva	_	auto	"Nincs annál kézenfekvőbb , mint , hogy otthonunk levegőjét egy természetes „ Ionizátor "" segítségével egészségesebbé tegyük ."
fn012s24w5	fn	állítsuk	1speaker	2saját hangú	3inclusive	auto	Tipp : A sólámpát állítsuk lehetőleg a sugárzó készülékek ( TV , Computer ) közelébe , vagy éjszakára a fej közelébe .
fn012s36w1	fn	Értékeld	2speaker+	2saját hangú	1listener	auto	Értékeld a munkánkat , ha tetszett oszd meg !
fn012s36w7	fn	oszd	2speaker+	2saját hangú	1listener	auto	Értékeld a munkánkat , ha tetszett oszd meg !
fn013s10w7	nemEü	határozzon	_	4meta	_	auto	A kancellár azt mondta , hogy határozzon meg mindenki egy olyan embert , akivel tartja a kapcsolatot .
fn015s2w2	nemEü	segíts	1speaker	2saját hangú	1listener	auto	Kérlek segíts egy megosztással a cenzúra ellen !
fn015s6w13	nemEü	elgondolkozzon	_	1nodirectiva	_	auto	A mindennapi ember számára más tűnik fontosnak , mint az hogy mélyen elgondolkozzon bizonyos múltbéli kérdéseken , megvizsgáljon érdekes helyeket , és felfigyeljen az őt körülvevő nagyon régóta ott található különböző beszédes jelekre .
fn015s6w18	nemEü	megvizsgáljon	_	1nodirectiva	_	auto	A mindennapi ember számára más tűnik fontosnak , mint az hogy mélyen elgondolkozzon bizonyos múltbéli kérdéseken , megvizsgáljon érdekes helyeket , és felfigyeljen az őt körülvevő nagyon régóta ott található különböző beszédes jelekre .
fn015s6w23	nemEü	felfigyeljen	_	1nodirectiva	_	auto	A mindennapi ember számára más tűnik fontosnak , mint az hogy mélyen elgondolkozzon bizonyos múltbéli kérdéseken , megvizsgáljon érdekes helyeket , és felfigyeljen az őt körülvevő nagyon régóta ott található különböző beszédes jelekre .
fn015s33w21	nemEü	viseljen	_	1nodirectiva	_	auto	"Kétlem , hogy egy tünde nő szarvastehén és később egy magyar nő pedig hozzá teljesen méltánytalan „ koca "" nevet viseljen , ez is csak történészeink „ hozzáállását "" mutatja , akik igyekeztek minket , magyarokat „ lejáratni "" mindenki más előtt ."
fn015s41w20	nemEü	felejtse	_	1nodirectiva	_	auto	Tanulta , mert tanították neki , ( vagyis a fejébe verték ) , pontosan azért , hogy el ne felejtse .
fn016s1w2	fn	dobd	1speaker	2saját hangú	1listener	auto	Ne dobd el a gyerek tejfogát !
fn016s6w32	fn	meggyógyíthassák	_	1nodirectiva	_	auto	A legfrissebb kutatások azonban fényt derítettek rá , hogy a tejfogak értékes őssejteket tartalmaznak , amelyek később a szakemberek segítségére lehetnek abban , hogy a gyereket később ( akár felnőttként ) meggyógyíthassák egyes betegségekből .
fn016s7w21	fn	tudják	_	1nodirectiva	_	new	Az őssejtek segíthetnek abban , hogy a neuronokat , a csontokat , a porcokat , valamint a szívizomzat szöveteit regenerálni tudják a szakemberek .
fn016s13w14	fn	tudják	_	1nodirectiva	_	new	A dolog nehézsége egyelőre az , hogy ahhoz , hogy az őssejteket tartósítani tudják , 48 h-n belül le kell fagyasztani a kihullott fogat .
fn016s16w21	fn	fagyasszuk	1speaker	2saját hangú	3inclusive	auto	Jó hír ugyanakkor , hogy ha nincs lehetőségünk tároló bankot igénybe venni , attól még van van remény : egyszerűen fagyasszuk le a tejfogakat .
fn017s2w2	fn	lássuk	_	6szövegszervező	_	auto	Na lássuk ki nem földlakó !
fn018s5w10	fn	legyen	_	6szövegszervező	_	auto	A szakemberek megállapították , hogy ha egyetlen maszkot - legyen az sebészi vagy textilből készült - viselünk , az a felénk terjedő részecskék mintegy 40 százalékát gátolja meg abban , hogy belélegezzük .
fn018s5w32	fn	belélegezzük	_	1nodirectiva	_	new	A szakemberek megállapították , hogy ha egyetlen maszkot - legyen az sebészi vagy textilből készült - viselünk , az a felénk terjedő részecskék mintegy 40 százalékát gátolja meg abban , hogy belélegezzük .
fn020s10w27	nemEü	próbálja	_	_	_	error	Érdemes megemlíteni azt is , hogy több ízben is felhívta a figyelmet arra , hogy az emberiség saját magát viheti bele a pusztulásba azzal , hogy próbálja felhívni a figyelmet magára az űr sötétjében .
fn021s12w10	fn	adj	_	7interakciós	_	auto	Ezzel lehetne ugyanis megelőzni egy helyi , vagy ne adj Isten egy világjárvány kirobbanását is ami akár hazánkból is elindulhatna a jövőben .
fn021s13w25	fn	kezdjünk	2speaker+	3közvetített	3inclusive	auto	Már holnap baj lehet - állítják , de azt is hozzátették , hogy nem a riadalom keltés a céljük , mindössze az , hogy kezdjünk el járványmegelőzésen dolgozni idehaza .
fn023s21w18	nemEü	nyomják	_	_	_	error	A csapat ezért az égbolton olyan régiókat kezdett el vizsgálni , ahol a galaxisok és csillagok nem nyomják el a sugárzást .
fn023s25w7	nemEü	kiderítsék	_	1nodirectiva	_	auto	Erre azért volt szükség , hogy kiderítsék , a háttérsugárzás képes-e véletlenszerűen olyan eredményeket produkálni , mint amit a gyakorlatban is megfigyeltek .
fn024s14w11	nemEü	kiderítse	_	1nodirectiva	_	auto	A CIA a NASA segítségével kísérletet tett arra , hogy kiderítse , milyen is lehetett a Mars felszíne több millió évvel ezelőtt .
fn025s11w34	nemEü	szavazzon	_	1nodirectiva	_	auto	"A Project Veritas tényfeltárása és az alábbi videó tanúsága szerint a „ felvilágosult "" demokrata pártiak úgy gondolják , hogy át kell nevelni a republikánus szülők gyermekeit , tűrhetetlen , hogy valaki Trumpra szavazzon ( csak szólok , hogy 75 millióan voltak ) vagy nemzeti , patrióta , konzervatív hangokat üssön meg !"
fn025s11w51	nemEü	üssön	_	1nodirectiva	_	auto	"A Project Veritas tényfeltárása és az alábbi videó tanúsága szerint a „ felvilágosult "" demokrata pártiak úgy gondolják , hogy át kell nevelni a republikánus szülők gyermekeit , tűrhetetlen , hogy valaki Trumpra szavazzon ( csak szólok , hogy 75 millióan voltak ) vagy nemzeti , patrióta , konzervatív hangokat üssön meg !"
fn025s12w21	nemEü	dobjon	_	1nodirectiva	_	auto	Az sem baj , ha belehalnak a járványba , de ha mégis Trump nyerne , maga menne , hogy molotov-koktélt dobjon a Fehér Házra .
fn026s3w2	nemEü	segíts	1speaker	2saját hangú	1listener	auto	Kérlek segíts egy megosztással a cenzúra ellen !
fn027s1w1	fn	Találd	1speaker	2saját hangú	1listener	auto	Találd meg újra az egészséget , amiben nagymamáink éltek : a magyar hagyományos étrend GYÓGYÍTÓ erejű !
fn027s2w2	fn	segíts	1speaker	2saját hangú	1listener	auto	Kérlek segíts egy megosztással a cenzúra ellen !
fn027s7w1	fn	Olvassátok	1speaker	2saját hangú	2listener+	auto	"Olvassátok el , és "" jól rágjátok át "" …"
fn027s7w7	fn	rágjátok	1speaker	2saját hangú	2listener+	auto	"Olvassátok el , és "" jól rágjátok át "" …"
fn027s10w1	fn	Változtasd	1speaker	2saját hangú	1listener	auto	Változtasd meg az étrendet amin ma élsz !
fn027s11w1	fn	Egyél	1speaker	2saját hangú	1listener	auto	Egyél úgy , ahogy őseid ettek !
fn027s16w4	fn	egyél	1speaker	2saját hangú	1listener	auto	Nagyon egyszerű , egyél magyarosan !
fn027s23w9	fn	Vesszen	_	_	_	error	Betegekké tesznek bennünket , írja a Hajrá egészség Vesszen a háj .
fn028s6w12	nemEü	akadályozzák	_	_	_	error	"Szervezetei nem csak manipulálják a forgatókönyveket , de még meg is akadályozzák , hogy a Pentagonnal , illetve a hírszerzéssel szemben kritikus filmeket leforgassanak . """
fn028s6w24	nemEü	leforgassanak	_	1nodirectiva	_	auto	"Szervezetei nem csak manipulálják a forgatókönyveket , de még meg is akadályozzák , hogy a Pentagonnal , illetve a hírszerzéssel szemben kritikus filmeket leforgassanak . """
fn028s7w50	nemEü	akadályozzák	_	_	_	error	"Tom Secker és Matthew Alford , a hatalmas értékelő és összegző munkát elvégző két amerikai újságíró most első ízben tárja a nyilvánosság elé , tagadhatatlan bizonyítékokra támaszkodva , hogy „ az amerikai kormány kezében van Hollywood "" és szervezetei nem csak manipulálják a forgatókönyveket , de még meg is akadályozzák , hogy a Pentagonnal , illetve a hírszerzéssel szemben kritikus filmeket leforgassanak . """
fn028s7w62	nemEü	leforgassanak	_	1nodirectiva	_	auto	"Tom Secker és Matthew Alford , a hatalmas értékelő és összegző munkát elvégző két amerikai újságíró most első ízben tárja a nyilvánosság elé , tagadhatatlan bizonyítékokra támaszkodva , hogy „ az amerikai kormány kezében van Hollywood "" és szervezetei nem csak manipulálják a forgatókönyveket , de még meg is akadályozzák , hogy a Pentagonnal , illetve a hírszerzéssel szemben kritikus filmeket leforgassanak . """
fn029s2w2	nemEü	segíts	1speaker	2saját hangú	1listener	auto	Kérlek segíts egy megosztással a cenzúra ellen !
fn032s9w5	fn	megállítsalak	_	1nodirectiva	_	auto	Azért jöttem , hogy megállítsalak titeket .
fn032s12w6	fn	kipróbálhassátok	_	1nodirectiva	_	auto	Azért vagyok itt , hogy kipróbálhassátok , képesek vagytok-e megtalálni a fizikai és lelki túlélés eszközeit .
fn032s13w5	fn	kiderüljön	_	1nodirectiva	_	auto	Azért jöttem , hogy kiderüljön , képesek vagytok-e másképp csinálni dolgokat .
fn032s16w12	fn	kiderüljön	_	1nodirectiva	_	auto	Szét akarlak választani titeket és elvenni a fizikai szabadságotokat , hogy kiderüljön , képesek vagytok-e érzelmi és spirituális szinten kapcsolódni .
fn032s20w5	fn	emlékeztesselek	_	1nodirectiva	_	auto	Eljöttem most , hogy emlékeztesselek rá titeket : a természet aprócska részei vagytok csupán .
fn033s6w12	nemEü	megmutassa	_	1nodirectiva	_	auto	Sőt , le is rajzolt egy ezüst színű idegent , hogy megmutassa , hogyan néznek ki
fn034s17w18	nemEü	nyugtassák	_	1nodirectiva	_	auto	Sokan azonban nem hiszik el a hivatalos magyarázatot és csak porhintésnek gondolják az egészet , hogy ezzel nyugtassák meg a közvéleményt …
fn036s8w14	fn	írjuk	_	4meta	_	new	[ Magyarul : Ha sok ciklus után kapunk csak pozitív eredményt , akkor írjuk azt át negatívra .
fn036s15w21	fn	legyen	_	1nodirectiva	_	auto	Ez azt jelenti , hogy annak valószínűsége , hogy egy ( SARS-CoV-2 ) pozitív teszteredményt felmutató személy valóban SARS-CoV-2 fertőzött legyen , csökken a prevalencia csökkenésével , függetlenül az állított specifikusságtól .
fn037s2w7	nemEü	átvehessék	_	1nodirectiva	_	auto	Zajlik a nemzetiség kiirtása , hogy átvehessék a helyünket ?
fn037s6w1	nemEü	Hisszük	_	_	_	error	Hisszük vagy sem , de nem ért véget a háború .
fn037s12w13	nemEü	írassanak	_	1nodirectiva	_	auto	Ehhez még az sem volt nekik eléggé erkölcstelen , hogy tisztességtelen hitelszerződéseket írassanak alá több százezer magyar családdal a 2008-as válság előtti hetekben , hónapokban .
fn037s20w13	nemEü	elvehessék	_	1nodirectiva	_	auto	Talán éppen azért történt Trianon is , hogy ezt a földi paradicsomkertet elvehessék tőlünk ?
fn037s21w38	nemEü	elfoglalja	_	1nodirectiva	_	new	"Mi van , ha a nyugat "" kutyái "" ezzel már régebben tisztában voltak , és látva az egyre virágzó , fejlődő Nagy Magyarországot egyszerűen eldöntötték , hogy márpedig nem hagyják , hogy Európa legősibb népe újra elfoglalja vezető pozícióját a világban - ami minket meg is illetett ."
fn037s33w19	nemEü	legyen	_	1nodirectiva	_	auto	Ma gazdasági Trianon zajlik ellenünk , a megkezdett nemzetcsonkolást folytatják , de már más módszerekkel , hogy ne legyen belőle nemzetközi felháborodás .
fn038s3w7	nemEü	nézzük	_	_	_	error	Tizennégy éves , és ha nem nézzük meg a képeit , teljesen átlagos kamaszfiú is lehetne Lalit Patidar .
fn038s4w25	nemEü	támogathassa	_	1nodirectiva	_	auto	Szeret focizni , imádja a sulit , az osztálytársait és a szüleit és arról álmodik , hogy egyszer rendőr lesz , hogy anyagilag is támogathassa a családját .
fn038s15w8	nemEü	tudja	_	1nodirectiva	_	new	Lalit rendőr szeretne lenni , hogy támogatni tudja a szüleit
fn042s17w1	nemEü	Nézzük	_	6szövegszervező	_	auto	Nézzük , miképp keltek életre a jövő tárgyai valamikor a XVIII .
fn042s27w2	nemEü	olvassátok	_	_	_	error	Miközben olvassátok a bájthalmazt , gondolkodjatok el azon a vitathatatlan evidencián , hogy a többi világhíres váteszvízió is a Teknőkaparóéhoz hasonló futurológiai eshetőségekre figyelmezteti jelenünk romlásba rohanó siserehadát !
fn042s27w6	nemEü	gondolkodjatok	1speaker	2saját hangú	2listener+	auto	Miközben olvassátok a bájthalmazt , gondolkodjatok el azon a vitathatatlan evidencián , hogy a többi világhíres váteszvízió is a Teknőkaparóéhoz hasonló futurológiai eshetőségekre figyelmezteti jelenünk romlásba rohanó siserehadát !
fn042s44w1	nemEü	Térjünk	_	6szövegszervező	_	auto	Térjünk át azonban a legérdekesebb , legizgalmasabb részre , a harmadik világháború eshetőségeire !
fn042s65w13	nemEü	használjuk	_	_	_	error	"Egykor táltosnak hívták őket , manapság talán a "" látó "" kifejezést használjuk leginkább reájuk ."
fn044s5w10	nemEü	tudjon	_	1nodirectiva	_	auto	Éppen ezért fontos , hogy erről a helyzetről mindenki tudjon , mert így valóban felfüggeszti k a nyugdíjat - hívják fel a figyelmet a szakemberek .
fn044s18w3	nemEü	tájékoztasson	_	4meta	_	auto	Kérem , tájékoztasson a Nyugdíjfolyósító hivatal eljárásának jogszerűségéről .
fn045s1w9	nemEü	csapódjon	_	1nodirectiva	_	auto	NASA : NEM TUDJUK megakadályozni , hogy Közép-Európába csapódjon az aszteroida
fn045s2w29	nemEü	felmérje	_	1nodirectiva	_	auto	Komoly , globális gyakorlatban vettek részt az űrügynökségek szerte a világon egy aszteroida-becsapódás forgatókönyvet vizsgáló NASA szimulációban , amelynek az volt többek között a célja , hogy a felmérje és fejlessze a veszélyhelyzetkezelési képességeket , vizsgálja a rendelkezésre álló erők csoportosíthatóságát , valamint gyakoroltassa az infokommunikációs eszközök alkalmazását .
fn045s2w31	nemEü	fejlessze	_	1nodirectiva	_	auto	Komoly , globális gyakorlatban vettek részt az űrügynökségek szerte a világon egy aszteroida-becsapódás forgatókönyvet vizsgáló NASA szimulációban , amelynek az volt többek között a célja , hogy a felmérje és fejlessze a veszélyhelyzetkezelési képességeket , vizsgálja a rendelkezésre álló erők csoportosíthatóságát , valamint gyakoroltassa az infokommunikációs eszközök alkalmazását .
fn045s2w36	nemEü	vizsgálja	_	1nodirectiva	_	new	Komoly , globális gyakorlatban vettek részt az űrügynökségek szerte a világon egy aszteroida-becsapódás forgatókönyvet vizsgáló NASA szimulációban , amelynek az volt többek között a célja , hogy a felmérje és fejlessze a veszélyhelyzetkezelési képességeket , vizsgálja a rendelkezésre álló erők csoportosíthatóságát , valamint gyakoroltassa az infokommunikációs eszközök alkalmazását .
fn045s2w44	nemEü	gyakoroltassa	_	1nodirectiva	_	auto	Komoly , globális gyakorlatban vettek részt az űrügynökségek szerte a világon egy aszteroida-becsapódás forgatókönyvet vizsgáló NASA szimulációban , amelynek az volt többek között a célja , hogy a felmérje és fejlessze a veszélyhelyzetkezelési képességeket , vizsgálja a rendelkezésre álló erők csoportosíthatóságát , valamint gyakoroltassa az infokommunikációs eszközök alkalmazását .
fn045s4w17	nemEü	csapódjon	_	1nodirectiva	_	auto	Az eredmény elég lehangoló , miután nem tudtak érdemi megoldást felmutatni arra , hogy végül ne csapódjon be Európa közepébe a száguldó égitest .
fn045s13w12	nemEü	végezzenek	_	1nodirectiva	_	auto	Azon aszteroidák , amelyek elég nagyok ahhoz , hogy jelentős pusztítást végezzenek , kétharmada viszont felderítetlen marad .
fn045s15w14	nemEü	felkészüljenek	_	1nodirectiva	_	auto	""" Ezek a gyakorlatok végső soron segítenek a bolygóvédelmi közösségnek abban , hogy felkészüljenek arra , hogyan kommunikáljanak egymással és a kormányokkal annak biztosítása érdekében , hogy mindannyian összehangoltak legyünk , ha a jövőben potenciális veszélyt észlelünk "" - mondta Lindley Johnson , a NASA bolygóvédelmi tisztje ."
fn045s15w18	nemEü	kommunikáljanak	_	1nodirectiva	_	auto	""" Ezek a gyakorlatok végső soron segítenek a bolygóvédelmi közösségnek abban , hogy felkészüljenek arra , hogyan kommunikáljanak egymással és a kormányokkal annak biztosítása érdekében , hogy mindannyian összehangoltak legyünk , ha a jövőben potenciális veszélyt észlelünk "" - mondta Lindley Johnson , a NASA bolygóvédelmi tisztje ."
fn045s15w30	nemEü	legyünk	_	1nodirectiva	_	auto	""" Ezek a gyakorlatok végső soron segítenek a bolygóvédelmi közösségnek abban , hogy felkészüljenek arra , hogyan kommunikáljanak egymással és a kormányokkal annak biztosítása érdekében , hogy mindannyian összehangoltak legyünk , ha a jövőben potenciális veszélyt észlelünk "" - mondta Lindley Johnson , a NASA bolygóvédelmi tisztje ."
fn047s8w7	fn	MEGPRÓBÁLJAM	_	1nodirectiva	_	auto	MOST ELJÖTT AZ IDEJE , HOGY MEGPRÓBÁLJAM JÓVÁ TENNI , AZT AMIT EDDIG ROSSZUL TETTEM .
fn047s20w58	fn	MŰKÖDHESSEN	_	1nodirectiva	_	auto	A MÁSIK OKA ENNEK A GYULLADÁSNAK AZ ALACSONY ZSÍRTARTALMÚ DIÉTA , HISZEN A SZAKEMBEREK A ZSÍROS ÉTELEK FOGYASZTÁSA HELYET AZT AJÁNLOTTÁK , HOGY SZÓJÁBÓL , KUKORICÁBÓL , NAPRAFORGÓBÓL KINYERT NÖVÉNYI ZSÍROKAT KELL HASZNÁLNI , AMELYEK UGYAN TELE VANNAK OMEGA-6 ZSÍRSAVAKKAL , DE VISZONT OMEGA-3 MÁR ALIG VAN BENNÜNK , AMI NAGYON FONTOS , HOGY A SZERVEZET EGYENSÚLYBAN MŰKÖDHESSEN .
fn047s22w17	fn	LEHESSEN	_	1nodirectiva	_	auto	A CUKROKBAN ÉS SZÉNHIDRÁTBAN GAZDAG ÉLELMISZEREK , AMELYEKBEN FELDOGOZOTT OMEGA-6 ZSÍRSAVAK TALÁLHATÓK , HOGY TÖBB IDEIG LEHESSEN A TARTÓSÍTÁS MEGOLDANI , TELJESEN ÁTVETTÉK AZ URALMAT AZ EMBEREK ÉTRENDJÉBEN .
fn048s9w17	fn	felhasználja	_	_	_	error	""" Azt feltételeztük , hogy a CMV az egereket még sebezhetőbbé teszi más fertőzésekre , mivel felhasználja a tartalékokat és folyamatos munkát ad az immunrendszernek "" - tette hozzá ."
fn049s10w6	fn	nyomja	_	_	_	error	A történet megmutatja , hogy nyomja el a modern oktatási rendszer a valódi tehetségeket .
fn049s14w2	fn	szórakozzon	_	4meta	_	auto	"Ne szórakozzon velem ! """
fn049s18w14	fn	továbbfejlessze	_	1nodirectiva	_	auto	Ott fedezte fel egy befektető , aki támogatta abban , hogy munkájának prototípusát továbbfejlessze .
fn049s20w19	fn	legyen	_	1nodirectiva	_	auto	A fiatal feltaláló azonban azt szerette volna , hogy ez a forradalmi felfedezés ne csak a gazdagok számára legyen elérhető , hanem bárki használhassa .
fn049s20w24	fn	használhassa	_	1nodirectiva	_	auto	A fiatal feltaláló azonban azt szerette volna , hogy ez a forradalmi felfedezés ne csak a gazdagok számára legyen elérhető , hanem bárki használhassa .
fn049s36w24	fn	visszakapják	_	1nodirectiva	_	auto	"Ennek köszönhetően nem csak Nagypapának segíthettem , de több ezer másik embernek is , akiknek semmi reménye nem volt arra , hogy szemeik visszakapják korábbi fittségüket . """
fn049s48w7	fn	lássanak	_	1nodirectiva	_	auto	Ezek lehetővé teszik , hogy jobban lássanak , azonban sajnos lustává teszik a szemeket , ezzel elmélyítve a gondot .
fn049s58w17	fn	megmentsék	_	1nodirectiva	_	auto	Amikor észreveszik , hogy a problémájuk közbelépést igényel , sok esetben már túl késő , hogy megmentsék a szemüket .
fn049s70w9	fn	Gondoljanak	_	7interakciós	_	auto	Azonban amit most itt el akarok mondani … Gondoljanak bele , hány szemésszel találkoztak , akik szemüveget viselnek ?
fn049s81w14	fn	figyeljenek	2speaker+	3közvetített	2listener+	auto	Petz professzor csak arra szeretné figyelmeztetni a rácsos technológia leendő felhasználóit , hogy figyeljenek oda arra , nehogy véletlenül hamisítványt vegyenek meg az interneten .
fn049s81w21	fn	vegyenek	2speaker+	3közvetített	2listener+	auto	Petz professzor csak arra szeretné figyelmeztetni a rácsos technológia leendő felhasználóit , hogy figyeljenek oda arra , nehogy véletlenül hamisítványt vegyenek meg az interneten .
fn049s90w1	fn	Kattints	1speaker	2saját hangú	1listener	auto	Kattints ide , hogy megkapd az eredeti rácsos szemüveget a támogatással együtt , és 21 nap leforgása alatt visszanyerd látásodat > >
